state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,prefix_compatible,kv_cacheable,prompt_position,static_hotness,dynamic_hotness,deterministic,metadata
S_task,task,1000,1024000,,"[""O_debate_r0_a0"", ""O_debate_r0_a1"", ""O_debate_r0_a2"", ""O_debate_r0_a3"", ""O_debate_r1_a0"", ""O_debate_r1_a1"", ""O_debate_r1_a2"", ""O_debate_r1_a3"", ""O_judge""]",0,10,text,,True,True,0,40800.0,0.0,True,{}
S_document,document,1000,1024000,,"[""O_debate_r0_a0"", ""O_debate_r0_a1"", ""O_debate_r0_a2"", ""O_debate_r0_a3"", ""O_debate_r1_a0"", ""O_debate_r1_a1"", ""O_debate_r1_a2"", ""O_debate_r1_a3""]",0,8,text,,True,True,1,28000.0,0.0,True,{}
S_rubric,rubric,1000,1024000,,"[""O_debate_r0_a0"", ""O_debate_r0_a1"", ""O_debate_r0_a2"", ""O_debate_r0_a3"", ""O_debate_r1_a0"", ""O_debate_r1_a1"", ""O_debate_r1_a2"", ""O_debate_r1_a3"", ""O_judge""]",0,10,text,,True,True,2,40800.0,0.0,True,{}
S_role_instruction,role_instruction,1000,1024000,,"[""O_debate_r0_a0"", ""O_debate_r0_a1"", ""O_debate_r0_a2"", ""O_debate_r0_a3"", ""O_debate_r1_a0"", ""O_debate_r1_a1"", ""O_debate_r1_a2"", ""O_debate_r1_a3""]",0,8,text,,True,True,3,28000.0,0.0,True,{}
S_round_0_stance_0,unique_context,445,455680,,"[""O_debate_r0_a0""]",0,0,inline,,False,False,,0.0,0.0,True,{}
S_debate_r0_a0,debate_turn,208,212992,O_debate_r0_a0,"[""O_transcript_r0""]",0,4,output,,False,False,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_round_0_stance_1,unique_context,396,405504,,"[""O_debate_r0_a1""]",0,1,inline,,False,False,,0.0,0.0,True,{}
S_debate_r0_a1,debate_turn,285,291840,O_debate_r0_a1,"[""O_transcript_r0""]",1,4,output,,False,False,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_round_0_stance_2,unique_context,408,417792,,"[""O_debate_r0_a2""]",0,2,inline,,False,False,,0.0,0.0,True,{}
S_debate_r0_a2,debate_turn,225,230400,O_debate_r0_a2,"[""O_transcript_r0""]",2,4,output,,False,False,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_round_0_stance_3,unique_context,309,316416,,"[""O_debate_r0_a3""]",0,3,inline,,False,False,,0.0,0.0,True,{}
S_debate_r0_a3,debate_turn,217,222208,O_debate_r0_a3,"[""O_transcript_r0""]",3,4,output,,False,False,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_transcript_r0,intermediate_summary,935,957440,O_transcript_r0,"[""O_debate_r1_a0"", ""O_debate_r1_a1"", ""O_debate_r1_a2"", ""O_debate_r1_a3""]",4,8,text,,False,False,,5610.0,0.0,True,"{""aggregated_from"": [""S_debate_r0_a0"", ""S_debate_r0_a1"", ""S_debate_r0_a2"", ""S_debate_r0_a3""], ""synthetic"": true}"
S_round_1_stance_0,unique_context,383,392192,,"[""O_debate_r1_a0""]",0,5,inline,,False,False,,0.0,0.0,True,{}
S_debate_r1_a0,debate_turn,299,306176,O_debate_r1_a0,"[""O_transcript_r1""]",5,9,output,,False,False,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_round_1_stance_1,unique_context,399,408576,,"[""O_debate_r1_a1""]",0,6,inline,,False,False,,0.0,0.0,True,{}
S_debate_r1_a1,debate_turn,315,322560,O_debate_r1_a1,"[""O_transcript_r1""]",6,9,output,,False,False,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_round_1_stance_2,unique_context,438,448512,,"[""O_debate_r1_a2""]",0,7,inline,,False,False,,0.0,0.0,True,{}
S_debate_r1_a2,debate_turn,189,193536,O_debate_r1_a2,"[""O_transcript_r1""]",7,9,output,,False,False,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_round_1_stance_3,unique_context,387,396288,,"[""O_debate_r1_a3""]",0,8,inline,,False,False,,0.0,0.0,True,{}
S_debate_r1_a3,debate_turn,186,190464,O_debate_r1_a3,"[""O_transcript_r1""]",8,9,output,,False,False,,0.0,0.0,False,"{""dynamic_hot_candidate"": false}"
S_transcript_r1,intermediate_summary,989,1012736,O_transcript_r1,"[""O_judge""]",9,10,text,,False,False,,0.0,0.0,True,"{""aggregated_from"": [""S_debate_r1_a0"", ""S_debate_r1_a1"", ""S_debate_r1_a2"", ""S_debate_r1_a3""], ""synthetic"": true}"
S_verdict,output,275,281600,O_judge,[],10,10,output,,False,False,,0.0,0.0,True,"{""dynamic_hot_candidate"": false}"
