trace_id,dataset,task_id,model,agent_or_harness,success,reward,resolved,duration_s,input_tokens,output_tokens,cache_tokens,total_steps
terminalbench:break-filter-js-from-html__RuHrdiy,terminalbench,break-filter-js-from-html,minimax-m2.5@Minimax,terminus-2,False,0.0,False,1227.8380126953125,32965.0,16450.0,,42
terminalbench:bn-fit-modify__WfsErno,terminalbench,bn-fit-modify,gemini-2.5-flash@gemini,terminus-2,False,0.0,False,3651.549072265625,1960442.0,61036.0,,43
terminalbench:71e18ab9-4f7b-4a7a-9661-f1f673fd7c24,terminalbench,adaptive-rejection-sampler,moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,False,0.0,False,948.8259887695312,424688.0,19821.0,0.0,22
terminalbench:break-filter-js-from-html__n6uC5sN,terminalbench,break-filter-js-from-html,gemini-3-pro-preview@gemini,terminus-2,False,0.0,False,1223.4990234375,3600912.0,74394.0,,72
terminalbench:build-cython-ext__Udc8Uvc,terminalbench,build-cython-ext,claude-opus-4-5-20251101@anthropic,claude-code,True,1.0,True,552.4210205078125,,,,121
terminalbench:bn-fit-modify__K4Mr5x5,terminalbench,bn-fit-modify,claude-opus-4-6@anthropic,terminus-2,True,1.0,True,345.22198486328125,42204.0,6818.0,,10
terminalbench:break-filter-js-from-html__FqPsJBQ,terminalbench,break-filter-js-from-html,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,False,0.0,False,276.2900085449219,564674.0,4476.0,,77
terminalbench:break-filter-js-from-html__HXjxU5c,terminalbench,break-filter-js-from-html,gpt-5-nano@openai,codex,False,0.0,False,122.80699920654297,85913.0,8251.0,,14
terminalbench:bn-fit-modify__mMLH7SY,terminalbench,bn-fit-modify,gpt-5@openai,terminus-2,True,1.0,True,270.5409851074219,42832.0,15531.0,,6
terminalbench:06e27772-8995-4ac9-9a30-811b79dc6895,terminalbench,bn-fit-modify,moonshotai/Kimi-K2-Instruct-0905@together_ai,terminus-2,False,0.0,False,607.4180297851562,739662.0,11453.0,0.0,43
terminalbench:3c9bf8a7-636a-4283-947a-5f13d2f1ffc7,terminalbench,adaptive-rejection-sampler,openai/gpt-oss-120b@together_ai,terminus-2,False,0.0,False,259.7909851074219,7621.0,4485.0,0.0,4
terminalbench:bn-fit-modify__LMo9iMr,terminalbench,bn-fit-modify,claude-sonnet-4-5-20250929@anthropic,mini-swe-agent,True,1.0,True,259.4750061035156,82843.0,7448.0,,18
terminalbench:7f0ee595-ed8c-4f29-b748-8aacce5c0a93,terminalbench,break-filter-js-from-html,moonshotai/Kimi-K2-Thinking@together_ai,terminus-2,False,0.0,False,1239.06103515625,576925.0,33063.0,0.0,49
terminalbench:bn-fit-modify__KduR7ek,terminalbench,bn-fit-modify,minimax-m2.1@openai,terminus-2,False,0.0,False,709.3590087890625,,,,19
terminalbench:adaptive-rejection-sampler__NzxtMri,terminalbench,adaptive-rejection-sampler,claude-opus-4-6@anthropic,claude-code,False,0.0,False,534.5850219726562,,,,72
