trace_id,dataset,task_id,model,agent_or_harness,success,reward,resolved,duration_s,input_tokens,output_tokens,cache_tokens,total_steps
terminalbench:fix-code-vulnerability__fMjZzC8,terminalbench,fix-code-vulnerability,minimax-m2.1@openai,terminus-2,True,1.0,True,455.3659973144531,,,,61
terminalbench:dna-insert__XKiP6Ct,terminalbench,dna-insert,moonshotai/Kimi-K2-Instruct-0905@together_ai,openhands,False,0.0,False,899.56298828125,2647874.0,27237.0,,116
terminalbench:custom-memory-heap-crash__JNWXqk6,terminalbench,custom-memory-heap-crash,claude-opus-4-1-20250805@anthropic,mini-swe-agent,True,1.0,True,137.322998046875,82374.0,1971.0,,20
terminalbench:cobol-modernization__Dt36j2o,terminalbench,cobol-modernization,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,openhands,True,1.0,True,882.5020141601562,4013851.0,26679.0,,255
terminalbench:bn-fit-modify__neaBYUE,terminalbench,bn-fit-modify,gpt-5@openai,mini-swe-agent,True,1.0,True,371.1730041503906,59577.0,18903.0,,8
terminalbench:break-filter-js-from-html__GqVKT3R,terminalbench,break-filter-js-from-html,gpt-5@openai,openhands,False,0.0,False,385.9639892578125,100667.0,15793.0,,39
terminalbench:adaptive-rejection-sampler__4LUV7B6,terminalbench,adaptive-rejection-sampler,grok-4-0709@xai,openhands,False,0.0,False,971.7789916992188,339007.0,6062.0,,42
terminalbench:build-pov-ray__9222uaB,terminalbench,build-pov-ray,openai/gpt-oss-20b@together_ai,terminus-2,False,0.0,False,65.5260009765625,11714.0,3013.0,,5
terminalbench:dna-assembly__Ce59AN9,terminalbench,dna-assembly,grok-4-0709@xai,openhands,False,0.0,False,1878.907958984375,127986.0,1217.0,,25
terminalbench:feal-differential-cryptanalysis__wbDv7Tk,terminalbench,feal-differential-cryptanalysis,deepseek-v3.2@deepseek,terminus-2,True,1.0,True,966.239013671875,856554.0,29593.0,,29
terminalbench:75431c20-ac62-4757-a0a3-eb3d2eee75c9,terminalbench,dna-insert,openai/gpt-oss-120b@together_ai,mini-swe-agent,False,0.0,False,284.9620056152344,386217.0,20795.0,0.0,32
terminalbench:db-wal-recovery__HLKBftj,terminalbench,db-wal-recovery,openai/gpt-oss-120b@together_ai,mini-swe-agent,False,0.0,False,124.38500213623047,67641.0,6522.0,,28
terminalbench:db-wal-recovery__Vs5aURK,terminalbench,db-wal-recovery,gemini-3.1-pro-preview@Google,terminus-3-3,False,0.0,False,958.7169799804688,1522888.0,42677.0,,39
terminalbench:gcode-to-text__kNdVH9W,terminalbench,gcode-to-text,glm-5@z-ai,terminus-2,False,0.0,False,599.572998046875,0.0,0.0,,47
terminalbench:d5f6204e-69c6-4a8e-a2d8-fabf3fe4486f,terminalbench,circuit-fibsqrt,openai/gpt-oss-20b@together_ai,mini-swe-agent,False,0.0,False,164.31900024414062,31753.0,17442.0,0.0,8
terminalbench:financial-document-processor__qkNbjkh,terminalbench,financial-document-processor,claude-haiku-4-5-20251001@anthropic,terminus-2,False,0.0,False,1256.89599609375,5745053.0,20237.0,,137
terminalbench:extract-elf__qEDNez6,terminalbench,extract-elf,deepseek-v3.2@deepseek,terminus-2,True,1.0,True,340.51300048828125,171036.0,9814.0,,13
terminalbench:configure-git-webserver__KbiPN3V,terminalbench,configure-git-webserver,grok-4-0709@xai,mini-swe-agent,False,0.0,False,426.8030090332031,216114.0,2311.0,,35
terminalbench:fix-git__aR6uzip,terminalbench,fix-git,claude-sonnet-4-5-20250929@anthropic,claude-code,True,1.0,True,81.6240005493164,261415.0,273.0,,22
terminalbench:db-wal-recovery__rjZJPQ2,terminalbench,db-wal-recovery,gpt-5-codex@openai,terminus-2,False,0.0,False,927.6010131835938,216590.0,32133.0,,36
terminalbench:bn-fit-modify__QsfswZA,terminalbench,bn-fit-modify,gpt-5-mini@openai,codex,True,1.0,True,472.6659851074219,137411.0,8541.0,,14
terminalbench:feal-linear-cryptanalysis__7292vCy,terminalbench,feal-linear-cryptanalysis,openai/gpt-oss-120b@together_ai,terminus-2,False,0.0,False,479.48199462890625,200685.0,18703.0,,20
terminalbench:feal-differential-cryptanalysis__qGDugXJ,terminalbench,feal-differential-cryptanalysis,gemini-2.5-flash@gemini,terminus-2,False,0.0,False,1847.02001953125,185813.0,158817.0,,10
terminalbench:fix-code-vulnerability__7WrTowd,terminalbench,fix-code-vulnerability,gemini-2.5-pro@gemini,terminus-2,False,0.0,False,346.6000061035156,189399.0,26798.0,,19
terminalbench:adaptive-rejection-sampler__kksBeLG,terminalbench,adaptive-rejection-sampler,gemini-2.5-pro@gemini,terminus-2,False,0.0,False,733.0599975585938,203043.0,73611.0,,14
terminalbench:db-wal-recovery__hhkt2ps,terminalbench,db-wal-recovery,gemini-2.5-pro@gemini,mini-swe-agent,False,0.0,False,460.5539855957031,212248.0,40629.0,,31
terminalbench:cobol-modernization__z8rbv6p,terminalbench,cobol-modernization,gpt-5.2-codex@openai,deepagent-harbor,True,1.0,True,878.1489868164062,,,,84
terminalbench:constraints-scheduling__DDcpMKc,terminalbench,constraints-scheduling,gemini-2.5-pro@gemini,mini-swe-agent,True,1.0,True,153.50599670410156,9182.0,13239.0,,5
terminalbench:configure-git-webserver__KNuinDg,terminalbench,configure-git-webserver,claude-opus-4-5-20251101@anthropic,terminus-2,False,0.0,False,289.00799560546875,335758.0,6189.0,,19
terminalbench:adaptive-rejection-sampler__AL4XY3e,terminalbench,adaptive-rejection-sampler,openai/gpt-oss-120b@together_ai,terminus-2,False,0.0,False,259.7909851074219,7621.0,4485.0,,4
terminalbench:build-pmars__axcMaEc,terminalbench,build-pmars,gemini-2.5-pro@gemini,gemini-cli,False,0.0,False,966.0759887695312,325453.0,1975.0,,19
terminalbench:extract-elf__bmFj5LZ,terminalbench,extract-elf,claude-sonnet-4-5-20250929@anthropic,terminus-2,False,0.0,False,275.27899169921875,194342.0,7635.0,,20
terminalbench:custom-memory-heap-crash__KndNhFw,terminalbench,custom-memory-heap-crash,gpt-5.1@openai,terminus-2,True,1.0,True,590.6400146484375,50743.0,37226.0,,9
