trace_id,step_id,object_type,object_id,size_chars,access_type,object_source,stable_object,phase,tool_name,tool_wrapper,semantic_tool
terminalbench:tb_mock_success_1,0,file,file:README.md,44,execute_result,observation,True,unknown,list,ls,list
terminalbench:tb_mock_success_1,0,file,file:src/parser.py,44,execute_result,observation,True,unknown,list,ls,list
terminalbench:tb_mock_success_1,0,file,file:tests/test_parser.py,44,execute_result,observation,True,unknown,list,ls,list
terminalbench:tb_mock_success_1,0,test_log,test_log:d3184d79e8d0ca46,44,execute_result,observation,False,unknown,list,ls,list
terminalbench:tb_mock_success_1,0,test_case,test:tests/test_parser.py,44,execute_result,observation,True,unknown,list,ls,list
terminalbench:tb_mock_success_1,1,file,file:src/parser.py,13,read,message,True,explore/read,open,cat,open
terminalbench:tb_mock_success_1,1,observation,observation:b2108df8195566e3,38,read,observation,False,explore/read,open,cat,open
terminalbench:tb_mock_success_1,2,file,file:tests/test_parser.py,34,execute_result,observation,True,explore/read,search,grep,search
terminalbench:tb_mock_success_1,2,test_log,test_log:b295236037a1cdeb,34,execute_result,observation,False,explore/read,search,grep,search
terminalbench:tb_mock_success_1,2,test_case,test:tests/test_parser.py,34,execute_result,observation,True,explore/read,search,grep,search
terminalbench:tb_mock_success_1,3,file,file:src/parser.py,21,mention,observation,True,unknown,patch,edit,patch
terminalbench:tb_mock_success_1,3,observation,observation:8d53c22c6fd34b8a,21,read,observation,False,unknown,patch,edit,patch
terminalbench:tb_mock_success_1,4,test_log,test_log:430ec27f70768d68,17,execute_result,observation,False,execute/test,run,pytest,run
terminalbench:tb_mock_success_1,5,observation,observation:026ab2fab046093c,8,read,observation,False,verify/final,submit,final,submit
terminalbench:tb_mock_fail_loop,0,file,file:app.py,41,execute_result,observation,True,unknown,inspect,ls,inspect
terminalbench:tb_mock_fail_loop,0,file,file:requirements.txt,41,execute_result,observation,True,unknown,inspect,ls,inspect
terminalbench:tb_mock_fail_loop,0,file,file:tests/test_cli.py,41,execute_result,observation,True,unknown,inspect,ls,inspect
terminalbench:tb_mock_fail_loop,0,test_log,test_log:28dd247e2a6d9b87,41,execute_result,observation,False,unknown,inspect,ls,inspect
terminalbench:tb_mock_fail_loop,0,test_case,test:tests/test_cli.py,41,execute_result,observation,True,unknown,inspect,ls,inspect
terminalbench:tb_mock_fail_loop,1,file,file:app.py,6,read,message,True,explore/read,read,cat,read
terminalbench:tb_mock_fail_loop,1,observation,observation:c2a0070bf8510fde,41,read,observation,False,explore/read,read,cat,read
terminalbench:tb_mock_fail_loop,2,file,file:tests/test_cli.py,53,execute_result,observation,True,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,2,test_log,test_log:6fe60c90c5322d82,53,execute_result,observation,False,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,2,test_case,test:tests/test_cli.py::test_timeout,53,execute_result,observation,True,execute/test,run,pytest,run
terminalbench:tb_mock_fail_loop,2,test_case,test:tests/test_cli.py,53,execute_result,observation,True,execute/test,run,pytest,run
