trace_id,dataset,task_id,harness,agent_scaffold,model,success,reward,resolved,total_steps,tool_action_steps,duration,input_tokens,output_tokens
adaptive-rejection-sampler__8YuTzJm,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-haiku-4-5-20251001@anthropic,False,0.0,False,119,47,522.0469970703125,9417011.0,2847.0
adaptive-rejection-sampler__Evnd4hC,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-haiku-4-5-20251001@anthropic,False,0.0,False,82,30,440.5429992675781,5772680.0,349.0
adaptive-rejection-sampler__ubYZyKj,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-haiku-4-5-20251001@anthropic,False,0.0,False,84,25,815.47900390625,5063217.0,1199.0
adaptive-rejection-sampler__DFZ5rbT,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-1-20250805@anthropic,True,1.0,True,47,16,628.8389892578125,2137974.0,552.0
adaptive-rejection-sampler__SBZkcUM,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-1-20250805@anthropic,False,0.0,False,87,38,796.6380004882812,4709487.0,756.0
adaptive-rejection-sampler__kjMMRbx,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-1-20250805@anthropic,False,0.0,False,46,16,837.3159790039062,1950743.0,588.0
adaptive-rejection-sampler__Mevwqr6,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-5-20251101@anthropic,False,0.0,False,95,41,763.7890014648438,,
adaptive-rejection-sampler__Mhox9SJ,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-5-20251101@anthropic,False,0.0,False,51,19,589.6859741210938,,
adaptive-rejection-sampler__QZsFSKP,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-5-20251101@anthropic,False,0.0,False,23,7,299.87701416015625,,
adaptive-rejection-sampler__jzwizve,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-5-20251101@anthropic,True,1.0,True,48,21,425.37200927734375,,
adaptive-rejection-sampler__nFsvii2,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-5-20251101@anthropic,False,0.0,False,34,12,373.0690002441406,,
adaptive-rejection-sampler__2ZVJDrp,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-6@anthropic,False,0.0,False,45,17,947.7379760742188,,
adaptive-rejection-sampler__EYTGtie,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-6@anthropic,False,0.0,False,40,17,359.5379943847656,,
adaptive-rejection-sampler__NzxtMri,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-6@anthropic,False,0.0,False,72,39,534.5850219726562,,
adaptive-rejection-sampler__myVKj9Z,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-6@anthropic,False,0.0,False,43,21,824.0830078125,,
adaptive-rejection-sampler__rQjW9vS,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-opus-4-6@anthropic,False,0.0,False,28,11,530.6279907226562,,
adaptive-rejection-sampler__5NL4w4t,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-sonnet-4-5-20250929@anthropic,False,0.0,False,94,45,570.281982421875,,
adaptive-rejection-sampler__m4rxCNX,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-sonnet-4-5-20250929@anthropic,True,1.0,True,121,45,881.8809814453125,7317630.0,1075.0
adaptive-rejection-sampler__qbokweb,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,claude-sonnet-4-5-20250929@anthropic,False,0.0,False,117,56,689.489990234375,6545497.0,860.0
adaptive-rejection-sampler__MnARWmM,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,minimax-m2.1@minimax,False,0.0,False,64,20,1021.1129760742188,,
adaptive-rejection-sampler__aMgqnnZ,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,minimax-m2.1@minimax,False,0.0,False,164,57,941.8179931640625,,
adaptive-rejection-sampler__bTf6vXK,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,minimax-m2.1@minimax,True,1.0,True,128,46,737.4810180664062,,
adaptive-rejection-sampler__dhgeqm9,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,minimax-m2.1@minimax,False,0.0,False,116,38,467.72601318359375,,
adaptive-rejection-sampler__pw8B2yU,terminalbench,adaptive-rejection-sampler,claude-code,claude-code,minimax-m2.1@minimax,True,1.0,True,83,28,946.905029296875,,
